vgs	Id(M2)	sqrt(Id(M2))
Step Information: Vds=300m  (Run: 1/6)
3.470000000000003e-001	3.716776e-006	1.927894e-003
3.480000000000003e-001	3.792110e-006	1.947334e-003
3.490000000000003e-001	3.868765e-006	1.966918e-003
3.500000000000003e-001	3.946760e-006	1.986645e-003
3.510000000000003e-001	4.026111e-006	2.006517e-003
3.520000000000003e-001	4.106837e-006	2.026533e-003
3.530000000000003e-001	4.188956e-006	2.046694e-003
3.540000000000003e-001	4.272486e-006	2.066999e-003
3.550000000000003e-001	4.357446e-006	2.087450e-003
3.560000000000003e-001	4.443852e-006	2.108045e-003
3.570000000000003e-001	4.531724e-006	2.128785e-003
3.580000000000003e-001	4.621080e-006	2.149670e-003
3.590000000000003e-001	4.711938e-006	2.170700e-003
3.600000000000003e-001	4.804318e-006	2.191875e-003
3.610000000000003e-001	4.898236e-006	2.213196e-003
3.620000000000003e-001	4.993712e-006	2.234661e-003
3.630000000000003e-001	5.090764e-006	2.256272e-003
3.640000000000003e-001	5.189411e-006	2.278028e-003
3.650000000000003e-001	5.289671e-006	2.299929e-003
3.660000000000003e-001	5.391564e-006	2.321974e-003
3.670000000000003e-001	5.495107e-006	2.344164e-003
3.680000000000003e-001	5.600319e-006	2.366499e-003
3.690000000000003e-001	5.707218e-006	2.388979e-003
3.700000000000003e-001	5.815825e-006	2.411602e-003
3.710000000000003e-001	5.926157e-006	2.434370e-003
3.720000000000003e-001	6.038231e-006	2.457281e-003
3.730000000000003e-001	6.152069e-006	2.480336e-003
3.740000000000003e-001	6.267687e-006	2.503535e-003
3.750000000000003e-001	6.385104e-006	2.526876e-003
3.760000000000003e-001	6.504339e-006	2.550360e-003
3.770000000000003e-001	6.625410e-006	2.573987e-003
3.780000000000003e-001	6.748335e-006	2.597756e-003
3.790000000000003e-001	6.873133e-006	2.621666e-003
3.800000000000003e-001	6.999822e-006	2.645718e-003
3.810000000000003e-001	7.128420e-006	2.669910e-003
3.820000000000003e-001	7.258946e-006	2.694243e-003
3.830000000000003e-001	7.391417e-006	2.718716e-003
3.840000000000003e-001	7.525851e-006	2.743328e-003
